company,product_name,link_href,product_category,price
reshoevn8r,Sneaker Wipes (24),https://reshoevn8r.com/products/sneaker-cleaning-wipes-on-the-go-24-pack-bun-wipes,"Cleaner, Spot remover",69
reshoevn8r,16 Oz. Cleaning Solution,https://reshoevn8r.com/products/all-natural-sneaker-cleaning-solution-re8-16oz-bot,Cleaner,18.97
reshoevn8r,8 oz. Cleaning Solution,https://reshoevn8r.com/products/all-natural-sneaker-cleaning-solution-8oz-re8-8oz-bot,Cleaner,19.97
reshoevn8r,Sole Revive,https://reshoevn8r.com/products/shoe-oxidation-yellowing-removal-re8-sole-revive,Cleaner,84.99
reshoevn8r,Water + Stain Repellent Pump,https://reshoevn8r.com/products/sneaker-stain-repellent-potection-re8-pump-repel,"Cleaner, Spot remover, Water repellant",179.99
reshoevn8r,Water + Stain Repellent,https://reshoevn8r.com/products/water-stain-repellent-spray-shoe-protective-coating-re8-repel,"Cleaner, Spot remover, Water repellant",119.99
reshoevn8r,Water + Stain Repellent (2 Pack),https://reshoevn8r.com/products/water-stain-repellent-2-pack,"Cleaner, Spot remover, Water repellant",79.99
reshoevn8r,Dry Suede Kit,https://reshoevn8r.com/products/dry-kit,"Cleaner, Spot remover",134.99
reshoevn8r,Sneaker Laundry Detergent,https://reshoevn8r.com/products/sneaker-laundry-detergent-pods-shoe-cleaning-re8-ldry-pods,Cleaner,54.99
reshoevn8r,Replenishment Bundle,https://reshoevn8r.com/products/copy-of-clean-protect-bundle,"Cleaner, Spot remover, Water repellant",59.99
reshoevn8r,Original Shoe Cleaning Kit,https://reshoevn8r.com/products/original-shoe-cleaning-kit-solution-brush-wipes-re8-rt-fresh,Cleaner,7.99
reshoevn8r,Executive Cleaning Kit,https://reshoevn8r.com/products/executive-cleaning-kit,"Cleaner, Water repellant",16.99
reshoevn8r,Signature Bundle (Customer Favorite),https://reshoevn8r.com/products/signature-shoe-cleaning-bundle-laundry-pods-bowl-wipes-8oz-refill-mat-bun-signature,Cleaner,14.99
reshoevn8r,Clean & Protect Bundle,https://reshoevn8r.com/products/clean-protect-bundle,"Cleaner, Water repellant",8.99
reshoevn8r,Essential Kit,https://reshoevn8r.com/products/essential-shoe-cleaning-kit-solution-brushes-microfiber-re8-essntl,Cleaner,11.99
reshoevn8r,Signature Kit (Patented Laundry System),https://reshoevn8r.com/products/signature-shoe-cleaning-kit-solution-brush-bag-trees-microfiber-re8-sig-kit,Cleaner,11.99
hendlex,SHOWER CABIN AND BATH PROTECTION SET,https://hendlex.com/product/shower-cabin-and-bath-protection-set/,"Cleaner, Protectant",16.99
hendlex,CLOTHES PROTECTION,https://hendlex.com/product/clothes-protection/,Spot remover,13.99
hendlex,TEXTILE,https://hendlex.com/product/textile/,"Protectant, Spot remover",13.99
hendlex,TEXTILE PRO,https://hendlex.com/product/textile-pro/,Protectant,13.99
hendlex,SHOES PROTECT TEXTILE,https://hendlex.com/product/shoes-protect-textile/,Protectant,11.99
hendlex,SHOES PROTECT SUEDE LEATHER,https://hendlex.com/product/shoes-protect-suede-leather/,"Protectant, Spot remover",17.99
hendlex,LEATHER – SHINE EFFECT,https://hendlex.com/product/leather-shine-effect/,Protectant,10.99
hendlex,INVISIBLE WIPERS,https://hendlex.com/product/invisible-wipers/,Cleaner,15
hendlex,NC9 set,https://hendlex.com/product/nc9/,"Cleaner, Protectant",5
hendlex,FS60 set,https://hendlex.com/product/fs60/,"Cleaner, Protectant",30
hendlex,APL4 set,https://hendlex.com/product/apl4/,Cleaner,15
hendlex,PPF&VINYL set,https://hendlex.com/product/ppfvinyl/,"Cleaner, Protectant",18
hendlex,NC9 PRO set,https://hendlex.com/product/nc9-pro/,"Cleaner, Protectant",18
hendlex,M3 set,https://hendlex.com/product/m3/,"Cleaner, Protectant",25
hendlex,M3X set,https://hendlex.com/product/m3x-set/,"Cleaner, Protectant",30
rainguard,Hydro-LOK™ Liquid Repellent For Fabric,https://rainguard.com/shop/hydro-lok/,"Protectant, Water repellant",28
rainguard,Premium Paver Sealer Water Repellent Protection,https://rainguard.com/shop/premium-grade-paver-sealer/,"Cleaner, Protectant, Water repellant",32
rainguard,Premium Gloss Sealer For Wood and Masonry,https://rainguard.com/shop/glosssealer/,"Cleaner, Protectant",28
rainguard,Premium Wood Sealer,https://rainguard.com/shop/premium-grade-wood-sealer-water-repellent-protection-wood-surfaces/,"Cleaner, Protectant, Water repellant",30
hoover,16 oz. Clean Complements Scent Booster Formula for Carpet Cleaner Machines (2-Pack),https://www.homedepot.com/p/HOOVER-16-oz-Clean-Complements-Scent-Booster-Formula-for-Carpet-Cleaner-Machines-2-Pack-AH33010/314914924,Cleaner,42
hoover,"50 oz. Free and Clean Carpet Cleaner Solution, Hypoallergenic Carpet Shampoo",https://www.homedepot.com/p/HOOVER-50-oz-Free-and-Clean-Carpet-Cleaner-Solution-Hypoallergenic-Carpet-Shampoo-AH31952/317548061,"Cleaner, Spot remover",65
hoover,"16 oz. Clean Complements Pet Odor Eliminator, Scent Booster Formula for Carpet Cleaner Machines (2-Pack)",https://www.homedepot.com/p/HOOVER-16-oz-Clean-Complements-Pet-Odor-Eliminator-Scent-Booster-Formula-for-Carpet-Cleaner-Machines-2-Pack-AH33030/314926336,Cleaner,35
hoover,"116 oz. Oxy Pet Urine Eliminator Carpet Cleaner Solution, Stain and Odor Remover Carpet Shampoo",https://www.homedepot.com/p/HOOVER-116-oz-Oxy-Pet-Urine-Eliminator-Carpet-Cleaner-Solution-Stain-and-Odor-Remover-Carpet-Shampoo-AH31938/317824977,"Cleaner, Spot remover",18
hoover,64 oz. Renewal Carpet Cleaner Solution,https://www.homedepot.com/p/HOOVER-64-oz-Renewal-Carpet-Cleaner-Solution-AH31924/313541926,"Cleaner, Spot remover",25
hoover,116 oz. Oxy Carpet Cleaner Solution,https://www.homedepot.com/p/HOOVER-116-oz-Oxy-Carpet-Cleaner-Solution-AH31936/314010324,"Cleaner, Spot remover",18
hoover,22 oz. Oxy Stain Remover Carpet Cleaner Solution Pretreatment Spray,https://www.homedepot.com/p/HOOVER-22-oz-Oxy-Stain-Remover-Carpet-Cleaner-Solution-Pretreatment-Spray-AH31602/313518565,"Cleaner, Spot remover",50
hoover,128 oz. Paws and Claws Pet Carpet Cleaner Solution,https://www.homedepot.com/p/HOOVER-128-oz-Paws-and-Claws-Pet-Carpet-Cleaner-Solution-AH31933/313518720?ITC=AUC-75182-23-12140,"Cleaner, Spot remover",6.19
hoover,50 oz. Oxy Carpet Cleaner Solution,https://www.homedepot.com/p/HOOVER-50-oz-Oxy-Carpet-Cleaner-Solution-AH31950/313518024,"Cleaner, Spot remover",17.99
hoover,128 oz. Renewal Carpet Cleaner Solution,https://www.homedepot.com/p/HOOVER-128-oz-Renewal-Carpet-Cleaner-Solution-AH31932/313516656,"Cleaner, Spot remover",16.29
hoover,64 oz. Paws and Claws Pet Carpet Cleaner Solution with Stainguard,https://www.homedepot.com/p/HOOVER-64-oz-Paws-and-Claws-Pet-Carpet-Cleaner-Solution-with-Stainguard-AH31925/313518810,"Cleaner, Spot remover",13.47
healthierhomeproducts,4-In-1 Carpet Stain Cleaner (32 Oz.),https://healthierhomeproducts.com/product/4-in-1-carpet-stain-cleaner-32-oz/,Cleaner,26.94
healthierhomeproducts,Pet CleanFloors Bundle,https://healthierhomeproducts.com/product/pet-cleanfloors-bundle/,Cleaner,13.47
healthierhomeproducts,Grout Cleaner Bundle,https://healthierhomeproducts.com/product/degreaser-bundle/,"Cleaner, Protectant, Spot remover",21.81
healthierhomeproducts,World’s Best 5-In-1 Steamer Carpet Cleaner Concentrate,https://healthierhomeproducts.com/product/world-s-best-5-in-1-steamer-carpet-cleaner-concentrate/,Cleaner,21.81
healthierhomeproducts,World’s Best 5-In-1 Pet Odor Eliminator & Carpet Stain Remover,https://healthierhomeproducts.com/product/world-s-best-5-in-1-pet-odor-eliminator-carpet-stain-remover/,Spot remover,21.81
healthierhomeproducts,"World’s Best 5-In-1 Pet Odor Eliminator & Carpet Stain Remover, Concentrate, 32 oz.",https://healthierhomeproducts.com/product/worlds-best-5-in-1-pet-odor-eliminator-carpet-stain-remover-concentrate-32-oz/,Spot remover,8.48
pedagusa,Selfshine Shoe Cream,https://pedagusa.com/selfshine-shoe-cream/,Protectant,260
pedagusa,Wax Polish for High Gloss,https://pedagusa.com/wax-polish-for-high-gloss/,Protectant,91
pedagusa,Deodorant Pump Spray,https://pedagusa.com/deodorant-pump-spray/,Cleaner,226
pedagusa,Pure Cleanser - All-Purpose Eco-Friendly Cleaner,https://pedagusa.com/pure-cleanser-all-purpose-eco-friendly-cleaner/,"Cleaner, Spot remover",190
pedagusa,Nubuck Cleaning Kit,https://pedagusa.com/nubuck-cleaning-kit/,"Cleaner, Spot remover",71
pedagusa,Leather Lotion and Conditioner,https://pedagusa.com/leather-lotion-and-conditioner/,"Cleaner, Protectant",164
pedagusa,"Waterproofer Aerosol Spray, 250ml",https://pedagusa.com/waterproofer-aerosol-spray-250ml/,"Spot remover, Water repellant",352
pedagusa,Suede Cleaning and Care Kit,https://pedagusa.com/suede-cleaning-and-care-kit/,"Cleaner, Spot remover",372
pedagusa,GIFT: Shoe Polish Travel Kit,https://pedagusa.com/gift-shoe-polish-travel-kit/,Cleaner,298
pedagusa,GIFT: Clean and Dry Shoes Kit,https://pedagusa.com/gift-clean-and-dry-shoes-kit/,"Cleaner, Spot remover, Water repellant",123
